name;category_ids;sku;regular_price;stock;image_id/gallery_image_ids;descripcion;ppum
YOGHURT BATIDO VAIN SOP 36x120;YOGHURT Y POSTRES PREPARADOS;1460143;296;86;https://www.cencocal.cl/imagenes/1460143.jpg;;$1000 x KG
YOGHURT BATIDO PLAT SOP 36x120;YOGHURT Y POSTRES PREPARADOS;1460144;296;63;https://www.cencocal.cl/imagenes/1460144.jpg;;$1000 x KG
YOGHURT BATIDO FRAM SOP 36x120;YOGHURT Y POSTRES PREPARADOS;1460145;296;53;https://www.cencocal.cl/imagenes/1460145.jpg;;$1000 x KG
YOGHURT 1+1 ZUCAR C/C 32x140gr;YOGHURT Y POSTRES PREPARADOS;1460181;734;32;https://www.cencocal.cl/imagenes/1460181.jpg;;$1000 x KG
YOGHURT 1+1 CHOCOK C/C 32x140g;YOGHURT Y POSTRES PREPARADOS;1460182;734;22;https://www.cencocal.cl/imagenes/1460182.jpg;;$1000 x KG
YOG DANONE DAMASCO 48x110G;YOGHURT Y POSTRES PREPARADOS;1460194;204;0;https://www.cencocal.cl/imagenes/1460194.jpg;;$1000 x KG
YOG PROT LONCO NATURAL 24x140G;YOGHURT Y POSTRES PREPARADOS;1460195;806;21;https://www.cencocal.cl/imagenes/1460195.jpg;;$1000 x KG
FLAN COLUN CHOCOLATE 48x100gr;YOGHURT Y POSTRES PREPARADOS;1460211;290;131;https://www.cencocal.cl/imagenes/1460211.jpg;;$1000 x KG
FLAN COLUN MANJAR 48x100gr.;YOGHURT Y POSTRES PREPARADOS;1460212;290;100;https://www.cencocal.cl/imagenes/1460212.jpg;;$1000 x KG
FLAN COLUN VAINILLA 48x100gr.;YOGHURT Y POSTRES PREPARADOS;1460213;290;184;https://www.cencocal.cl/imagenes/1460213.jpg;;$1000 x KG
YOG POT/L TR/S/L BERR 8x6x120;YOGHURT Y POSTRES PREPARADOS;1460216;316;0;https://www.cencocal.cl/imagenes/1460216.jpg;;$1000 x KG
JALEA COLUN FRAMBUESA 48x100gr.;YOGHURT Y POSTRES PREPARADOS;1460221;286;193;https://www.cencocal.cl/imagenes/1460221.jpg;;$1000 x KG
JALEA COLUN NARANJA 48x100gr.;YOGHURT Y POSTRES PREPARADOS;1460222;286;344;https://www.cencocal.cl/imagenes/1460222.jpg;;$1000 x KG
JALEA COLUN LIMON 48x100gr.;YOGHURT Y POSTRES PREPARADOS;1460223;286;414;https://www.cencocal.cl/imagenes/1460223.jpg;;$1000 x KG
YOGHURT FUSION CEREAL CHOCOLATE 36x140;YOGHURT Y POSTRES PREPARADOS;1460231;704;4;https://www.cencocal.cl/imagenes/1460231.jpg;;$1000 x KG
YOGHURT FUSION CEREAL MAIZ 36x140gr.;YOGHURT Y POSTRES PREPARADOS;1460232;704;36;https://www.cencocal.cl/imagenes/1460232.jpg;;$1000 x KG
YOGH. COLUN S.L. FRUT. 48x125;YOGHURT Y POSTRES PREPARADOS;1460245;357;34;https://www.cencocal.cl/imagenes/1460245.jpg;;$1000 x KG
YOGH. COLUN S.L. DCO 48x125;YOGHURT Y POSTRES PREPARADOS;1460246;357;31;https://www.cencocal.cl/imagenes/1460246.jpg;;$1000 x KG
CHIQUITIN NESTLE PLATANO 108x45gr.;YOGHURT Y POSTRES PREPARADOS;1460251;398;153;https://www.cencocal.cl/imagenes/1460251.jpg;;$1000 x KG
YOG OIKOS C/FRUTA DRZNO 48x150;YOGHURT Y POSTRES PREPARADOS;1460254;785;62;https://www.cencocal.cl/imagenes/1460254.jpg;;$1000 x KG
YOG GRIEGO LIG/FRUTILLA 48x120;YOGHURT Y POSTRES PREPARADOS;1460255;602;31;https://www.cencocal.cl/imagenes/1460255.jpg;;$1000 x KG
YOG GRIEGO LIG/BERRIES 48x120;YOGHURT Y POSTRES PREPARADOS;1460256;602;0;https://www.cencocal.cl/imagenes/1460256.jpg;;$1000 x KG
YOGHURT NESTLE c/c. CHOCAPIC 36x142g.;YOGHURT Y POSTRES PREPARADOS;1460261;600;37;https://www.cencocal.cl/imagenes/1460261.jpg;;$1000 x KG
YOGHURT NESTLE c/c MILO 36x142gr.;YOGHURT Y POSTRES PREPARADOS;1460262;600;26;https://www.cencocal.cl/imagenes/1460262.jpg;;$1000 x KG
YOG PACK CEREAL C/C 12x5x142g;YOGHURT Y POSTRES PREPARADOS;1460265;2900;7;https://www.cencocal.cl/imagenes/1460265.jpg;;$1000 x KG
YOGHURT BAT. NESTLE 4x12x115g;YOGHURT Y POSTRES PREPARADOS;1460266;2710;41;https://www.cencocal.cl/imagenes/1460266.jpg;;$1000 x KG
YOG GRIEGO CHIRIMOYA 48x110g;YOGHURT Y POSTRES PREPARADOS;1460271;388;42;https://www.cencocal.cl/imagenes/1460271.jpg;;$1000 x KG
YOG GRIEGO FRUTILLA 48x110g;YOGHURT Y POSTRES PREPARADOS;1460273;388;120;https://www.cencocal.cl/imagenes/1460273.jpg;;$1000 x KG
YOG GRIEGO NATURAL 48x110g;YOGHURT Y POSTRES PREPARADOS;1460275;388;109;https://www.cencocal.cl/imagenes/1460275.jpg;;$1000 x KG
YOG OIKOS MIEL COLCHON 48x150G;YOGHURT Y POSTRES PREPARADOS;1460281;867;55;https://www.cencocal.cl/imagenes/1460281.jpg;;$1000 x KG
YOG OIKOS SABOR MIEL 48x110G;YOGHURT Y POSTRES PREPARADOS;1460284;469;38;https://www.cencocal.cl/imagenes/1460284.jpg;;$1000 x KG
YOG OIKOS CRUNCH MIEL 12x142G;YOGHURT Y POSTRES PREPARADOS;1460285;1336;9;https://www.cencocal.cl/imagenes/1460285.jpg;;$1000 x KG
YOG. COLUN PRO.S/A CHIR.24x150;YOGHURT Y POSTRES PREPARADOS;1460292;580;6;https://www.cencocal.cl/imagenes/1460292.jpg;;$1000 x KG
YOG. COLUN PROT.S/A NAT.24x150;YOGHURT Y POSTRES PREPARADOS;1460293;580;25;https://www.cencocal.cl/imagenes/1460293.jpg;;$1000 x KG
YOG. COLUN PROT.S/A FRU.24x150;YOGHURT Y POSTRES PREPARADOS;1460294;580;7;https://www.cencocal.cl/imagenes/1460294.jpg;;$1000 x KG
YOGHURT COLUN DAMASCO 48x125gr.;YOGHURT Y POSTRES PREPARADOS;1460311;240;83;https://www.cencocal.cl/imagenes/1460311.jpg;;$1000 x KG
YOGHURT COLUN VAINILLA 48x125gr.;YOGHURT Y POSTRES PREPARADOS;1460312;240;97;https://www.cencocal.cl/imagenes/1460312.jpg;;$1000 x KG
YOGHURT COLUN FRUTILLA 48x125gr.;YOGHURT Y POSTRES PREPARADOS;1460313;240;125;https://www.cencocal.cl/imagenes/1460313.jpg;;$1000 x KG
YOGHURT COLUN MORA 48x125gr.;YOGHURT Y POSTRES PREPARADOS;1460314;240;61;https://www.cencocal.cl/imagenes/1460314.jpg;;$1000 x KG
YOGHURT ALERCES FRUTILLA 18x1kl;YOGHURT Y POSTRES PREPARADOS;1460321;1622;0;https://www.cencocal.cl/imagenes/1460321.jpg;;$1000 x KG
YOGHURT ALERCES DAMASCO 18x1k.;YOGHURT Y POSTRES PREPARADOS;1460323;1622;22;https://www.cencocal.cl/imagenes/1460323.jpg;;$1000 x KG
YOGHURT ALERCES PLATANO 18x1k.;YOGHURT Y POSTRES PREPARADOS;1460324;1622;10;https://www.cencocal.cl/imagenes/1460324.jpg;;$1000 x KG
YOGHURT ALERCES MORA 18x1k.;YOGHURT Y POSTRES PREPARADOS;1460325;1622;3;https://www.cencocal.cl/imagenes/1460325.jpg;;$1000 x KG
YOG. COLUN CERE. VA/CH 36x140;YOGHURT Y POSTRES PREPARADOS;1460327;683;7;https://www.cencocal.cl/imagenes/1460327.jpg;;$1000 x KG
YOG GRIEGO PAPAYA TROZ 48x110g;YOGHURT Y POSTRES PREPARADOS;1460351;622;53;https://www.cencocal.cl/imagenes/1460351.jpg;;$1000 x KG
YOG GRIEGO TROZO DURAZ 48x110g;YOGHURT Y POSTRES PREPARADOS;1460352;622;127;https://www.cencocal.cl/imagenes/1460352.jpg;;$1000 x KG
YOG GRIEGO TROZO FRUTIL 48x110;YOGHURT Y POSTRES PREPARADOS;1460353;622;69;https://www.cencocal.cl/imagenes/1460353.jpg;;$1000 x KG
YOG OIKOS NAT.S/AZUCAR 48x150G;YOGHURT Y POSTRES PREPARADOS;1460355;632;66;https://www.cencocal.cl/imagenes/1460355.jpg;;$1000 x KG
YOG DANONE LIGHT FRUT 48x115;YOGHURT Y POSTRES PREPARADOS;1460357;367;64;https://www.cencocal.cl/imagenes/1460357.jpg;;$1000 x KG
