name,category_ids,sku,regular_price,stock,image_id/gallery_image_ids,descripcion,PPUM
REF. VIVO MANGO 8x10x7gr,JUGOS Y REFRESCOS,0507923,224,151,https://www.cencocal.cl/imagenes/0507923.jpg,,$32000 POR KG
REF. VIVO BERRIES 8x10x7gr,JUGOS Y REFRESCOS,0507924,224,497,https://www.cencocal.cl/imagenes/0507924.jpg,,$32000 POR KG
SALSA SAN REMO DOYPACK 24x200g,SALSA DE TOMATE,0510505,330,4489,https://www.cencocal.cl/imagenes/0510505.jpg,,$1650 POR KG
SALSA POMAROLA SACHET 24x200g,SALSA DE TOMATE,0510602,731,991,https://www.cencocal.cl/imagenes/0510602.jpg,,$3655 POR KG
QUINOA CAROZZI 14x250gr,LEGUMBRES,0521005,3012,29,https://www.cencocal.cl/imagenes/0521005.jpg,,$12048 POR KG
HARINA SELECTA C/P 12x1,HARINAS Y LEVADURAS,0525103,1867,0,https://www.cencocal.cl/imagenes/0525103.jpg,,$1867 POR KG
HARINA SELECTA S/P 12x1 KILO,HARINAS Y LEVADURAS,052520K,1867,6,https://www.cencocal.cl/imagenes/052520K.jpg,,$1867 POR KG
H. CONFORT MAX UH 100m 8x4r,HIGIENICOS,0600017,5304,120,https://www.cencocal.cl/imagenes/0600017.jpg,,
H. CONFORT PAPEL 50m 4x12r,HIGIENICOS,0600043,5170,33,https://www.cencocal.cl/imagenes/0600043.jpg,,
H. CONFORT 50mts 6x8r,HIGIENICOS,0600059,5610,51,https://www.cencocal.cl/imagenes/0600059.jpg,,
PANUELO ELITE ALOE VERA 36x6u,PANUELO,0600253,1510,26,https://www.cencocal.cl/imagenes/0600253.jpg,,
SERV. ELITE PACK 32x200un,SERVILLETAS,0600261,1897,63,https://www.cencocal.cl/imagenes/0600261.jpg,,
PANUELO ELITE DISNEY 36x6u,PANUELO,0600270,1306,34,https://www.cencocal.cl/imagenes/0600270.jpg,,
PANUELO ELITE AROMA SURT.36x6u,PANUELO,0600288,1438,102,https://www.cencocal.cl/imagenes/0600288.jpg,,
PANUELO ELITE PACK 12x18u,PANUELO,0600393,209,421,https://www.cencocal.cl/imagenes/0600393.jpg,,
PANUELO ELITE MENTOLADO 36x6u,PANUELO,0600407,1265,55,https://www.cencocal.cl/imagenes/0600407.jpg,,
FACIAL ELITE INDIVIDUAL 36x90u,PANUELO,0600431,1244,0,https://www.cencocal.cl/imagenes/0600431.jpg,,
SERV. FAVORITA COCK 60x50un,SERVILLETAS,0600606,439,352,https://www.cencocal.cl/imagenes/0600606.jpg,,
TOALLA ABOLENGO MINI 8x3r,TOALLAS DE PAPEL,0601013,980,40,https://www.cencocal.cl/imagenes/0601013.jpg,,
TOALLA ABOLENGO XL 100m 6x1,TOALLAS DE PAPEL,0601016,2670,268,https://www.cencocal.cl/imagenes/0601016.jpg,,
SERV. ELITE MESA BCA. 63x50u,SERVILLETAS,0601055,851,254,https://www.cencocal.cl/imagenes/0601055.jpg,,
SERV. ELITE COCK BCA 120x50uni,SERVILLETAS,0601152,472,506,https://www.cencocal.cl/imagenes/0601152.jpg,,
SERV. NOVA EX.DISENO 50x200u,SERVILLETAS,0601276,1897,15,https://www.cencocal.cl/imagenes/0601276.jpg,,
SERV. ABOLENGO MINI 60x80uni.,SERVILLETAS,0601405,582,175,https://www.cencocal.cl/imagenes/0601405.jpg,,
SERV. ABOLENGO MINI 80x40u,SERVILLETAS,0601407,296,1468,https://www.cencocal.cl/imagenes/0601407.jpg,,
H. ELITE DH 25m 12x4r,HIGIENICOS,0630308,2009,61,https://www.cencocal.cl/imagenes/0630308.jpg,,
H. ELITE ULTRA 50m. 8x4r.,HIGIENICOS,0630701,2650,935,https://www.cencocal.cl/imagenes/0630701.jpg,,
H. ELITE UNTRA DH 50M. 4x8r.,HIGIENICOS,0630706,5540,154,https://www.cencocal.cl/imagenes/0630706.jpg,,
H. CONFORT DH 30m 12x4r,HIGIENICOS,0631507,1370,1015,https://www.cencocal.cl/imagenes/0631507.jpg,,
H. CONFORT DH 22m 12x4r,HIGIENICOS,0631703,990,209,https://www.cencocal.cl/imagenes/0631703.jpg,,
T. LADYSOFT ULT. T.SUA.ALAS 24X8,TOALLAS FEMENINAS,064005K,1214,167,https://www.cencocal.cl/imagenes/064005K.jpg,,
T. LADYSOFT U.DEL. C/ALA 12x16,TOALLAS FEMENINAS,0640099,1910,90,https://www.cencocal.cl/imagenes/0640099.jpg,,
T. LADYSOFT ULT.DE. C.ALAS 24X8,TOALLAS FEMENINAS,0640107,1214,163,https://www.cencocal.cl/imagenes/0640107.jpg,,
